Jenis Sampah,Metode Pengolahan,Kategori,Deskripsi
Logam,Pemanfaatan dalam Proyek STEM,Edukasi,"Potongan logam dapat digunakan sebagai bahan eksperimen dalam pendidikan sains dan teknologi, seperti magnetisme, penghantar listrik, atau robotik sederhana."
Logam,Pembuatan Alat Tukang Sederhana,Reuse,Logam yang cukup kuat bisa dipotong dan diasah untuk dijadikan alat bantu pertukangan atau pertanian skala kecil.
Plastik,Ecobrick,Recycle,Memadatkan sampah plastik bersih dan kering ke dalam botol plastik hingga keras. Ecobrick dapat digunakan sebagai material bangunan alternatif untuk struktur non-struktural.
Plastik,Pemulihan Energi,Energi,Plastik memiliki nilai kalori tinggi dan bisa dibakar dalam insinerator khusus untuk menghasilkan energi (listrik atau panas). Proses ini perlu dilakukan dengan teknologi yang tepat untuk mengendalikan emisi.
Plastik,Pengurangan,Reduce,"Cara terbaik adalah mengurangi penggunaan plastik sejak awal. Pilih produk dengan kemasan minimal atau tanpa plastik, bawa tas belanja sendiri, dan hindari plastik sekali pakai."
Plastik,Daur Ulang Industri,Recycle,"Plastik diklasifikasikan berdasarkan resin-nya (kode 1-7), lalu diproses sesuai jenis: PET, HDPE, dll. Setelah dibersihkan, plastik dilelehkan untuk dijadikan produk baru seperti ember, kursi, atau serat tekstil."
Sampah Elektronik,Pemulihan Komponen Elektronik,Recycle,"Perangkat elektronik seperti ponsel, komputer, dan TV mengandung logam langka (seperti emas, tembaga, dan lithium) yang bisa dipisahkan dan digunakan kembali di industri teknologi baru."
Sampah Elektronik,Donasi atau Refurbish,Reuse,Perangkat yang masih bisa diperbaiki dapat disumbangkan ke sekolah atau komunitas untuk dimanfaatkan kembali setelah diperbarui (refurbished).
Sampah Elektronik,Pengumpulan di E-Waste Center,Industri,Banyak kota menyediakan pusat pengumpulan limbah elektronik tempat masyarakat bisa membuang perangkat elektronik dengan aman untuk pengolahan yang bertanggung jawab.
Sampah Elektronik,Penghancuran Data Aman,Keamanan,"Sebelum mendaur ulang perangkat elektronik, penting untuk memastikan semua data dihapus dengan aman melalui proses digital wiping atau penghancuran fisik hard drive."
Sampah makanan,Komposting Rumah Tangga,Organik,"Sisa makanan seperti sayur, buah, nasi, dan kulit telur bisa dikomposkan di rumah untuk menghasilkan pupuk alami yang subur dan membantu mengurangi volume sampah organik ke TPA."
Sampah makanan,Biodigester untuk Biogas,Energi,"Sampah organik dapat dimasukkan ke dalam biodigester anaerobik yang mengubahnya menjadi gas metana, sumber energi yang dapat digunakan untuk memasak atau penerangan rumah."
Sampah makanan,Bank Makanan,Sosial,Makanan layak konsumsi yang berlebih dari restoran atau toko bisa disumbangkan ke bank makanan untuk didistribusikan ke masyarakat yang membutuhkan.
Sampah makanan,Pakan Ternak,Pertanian,"Sisa makanan yang belum tercemar atau rusak bisa digunakan sebagai pakan ternak untuk ayam, kambing, atau babi, mengurangi limbah sekaligus menekan biaya peternakan."
Sterofoam,Penggunaan Ulang sebagai Isolasi,Reuse,Styrofoam bekas bisa digunakan kembali sebagai bahan isolasi suara atau panas pada bangunan kecil atau perabot rumah tangga sederhana.
Sterofoam,Daur Ulang Khusus dengan Pelarut,Recycle,"Karena sulit didaur ulang biasa, styrofoam dapat dilarutkan dalam pelarut kimia khusus untuk mengembalikannya ke bentuk polistirena yang bisa dicetak ulang."
Sterofoam,Pembuatan Model Edukasi,Upcycle,"Potongan styrofoam sering digunakan untuk membuat model pelajaran seperti bentuk molekul, tata surya, atau bangunan sejarah di sekolah-sekolah."
Sterofoam,Pengiriman Ulang sebagai Pelindung,Reuse,Styrofoam bisa digunakan kembali untuk membungkus barang elektronik atau pecah belah dalam pengiriman sebagai bantalan pelindung.
